genome	cluster_id
2027919.18	1
158836.1181	2
158836.1241	2
158836.1173	2
158836.967	2
158836.976	2
158836.966	2
158836.1571	2
158836.968	2
1812934.18	3
158836.1098	3
301105.11	3
301105.12	3
158836.788	3
158836.1537	3
158836.1536	3
158836.8	3
158836.49	3
158836.81	3
158836.79	3
158836.85	3
158836.1095	3
158836.1096	3
158836.1099	3
158836.1097	3
158836.1103	3
158836.1101	3
158836.1102	3
158836.802	3
158836.796	3
158836.782	3
158836.784	3
158836.804	3
158836.783	3
158836.803	3
158836.799	3
1812935.89	3
158836.801	3
1812934.11	3
158836.167	3
158836.418	3
158836.789	3
158836.792	3
158836.1073	3
158836.282	3
158836.791	3
158836.786	3
158836.793	3
158836.1174	3
2747372.3	3
1812934.3	3
158836.11	3
158836.822	3
1333849.3	3
1333851.3	3
158836.811	3
158836.446	3
158836.1036	3
158836.1179	3
158836.445	3
158836.1107	3
158836.438	3
158836.1457	3
2850492.3	3
158836.905	3
158836.198	3
158836.1926	3
158836.1674	3
2051905.6	3
158836.417	3
158836.977	3
301102.8	3
158836.219	3
1296536.15	3
158836.821	3
158836.1666	3
1296536.16	3
158836.1144	3
1296536.96	3
158836.975	3
158836.1458	3
158836.2034	3
158836.1459	3
1296536.149	3
1296536.151	3
1296536.46	3
1296536.49	3
2850493.3	3
1296536.67	3
158836.1227	3
158836.1673	3
158836.1226	3
158836.549	3
158836.609	3
1296536.38	3
158836.1228	3
158836.1231	3
158836.1232	3
158836.1229	3
158836.1965	3
158836.1089	3
158836.1088	3
158836.882	3
158836.591	3
158836.206	3
2850078.3	3
158836.1693	3
158836.2043	3
158836.22	3
158836.2081	3
299766.119	3
158836.2039	3
158836.1569	3
158836.972	3
158836.973	3
158836.974	3
158836.969	3
158836.971	3
158836.1694	3
1333850.3	3
299766.181	3
158836.547	3
158836.608	3
158836.157	3
158836.794	3
158836.813	3
158836.812	3
299766.116	3
1296536.163	3
158836.191	3
299766.19	3
299766.107	3
158836.1895	3
158836.2038	3
158836.1044	3
158836.1045	3
158836.192	3
158836.491	3
299766.91	3
158836.1479	3
158836.892	3
158836.1456	3
158836.1035	3
158836.421	3
158836.2041	3
158836.2042	3
158836.1172	3
299766.39	3
299766.188	3
299766.193	3
299766.187	3
299766.192	3
299766.189	3
299766.191	3
158836.193	3
158836.2036	3
158836.434	3
158836.416	3
158836.344	3
158836.343	3
158836.844	3
1848517.3	3
2894203.3	3
158836.843	3
158836.2035	3
299766.186	3
1686396.3	3
158836.1074	3
1686392.3	3
158836.1072	3
299766.184	3
158836.483	3
1296536.165	3
158836.2037	3
158836.1197	3
158836.805	3
158836.797	3
158836.787	3
158836.785	3
301102.37	3
158836.798	3
158836.809	3
158836.795	3
158836.808	3
158836.806	3
2742619.3	4
2742676.3	5
2596949.3	6
2866201.3	6
208224.167	7
2724468.3	8
158836.807	9
1166130.5	10
1692238.3	11
299767.269	12
2561927.4	12
2742673.3	12
2742646.3	12
2742656.3	12
299767.79	12
299767.78	12
299767.104	12
2077137.3	12
299767.117	12
299767.18	12
299767.84	12
1354030.3	12
1045856.3	12
2077136.3	12
1329841.4	12
2742639.3	13
539813.12	14
539813.36	15
539813.21	15
539813.22	15
336306.71	16
2494702.15	17
2478464.3	18
208224.404	19
208224.79	19
208224.334	19
208224.246	19
208224.78	19
1827481.3	19
1211025.3	19
208224.245	19
208224.387	19
208224.341	19
208224.147	19
208224.123	19
208224.148	19
208224.99	19
208224.46	19
208224.12	19
208224.339	19
208224.146	19
208224.338	19
208224.238	19
208224.145	19
2707174.3	19
1812935.133	20
1812935.282	20
1812935.385	20
1812935.443	20
1812935.393	20
1812935.87	20
1812935.83	20
1812935.85	20
1812935.281	20
1812935.97	20
1812935.86	20
1812935.91	20
1812935.22	20
1812935.88	20
1812935.382	20
1812935.7	20
1812935.164	20
1812935.433	20
1812935.34	20
1812935.269	20
1812935.33	20
1812935.81	20
1812935.98	20
1812935.9	20
1812935.383	20
1812935.171	20
1812935.172	20
1812935.384	20
1812935.134	20
1812935.43	20
1812935.96	20
1329841.5	21
2497875.4	22
2494701.3	23
2027919.117	24
2500132.3	24
1977566.22	25
1977566.21	25
1868135.3	25
2720029.3	25
1915310.3	25
1421338.8	25
